<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GDAX.BTC-USD,D,20180914,000000,6478.0400000
GDAX.BTC-USD,D,20180915,000000,6518.6800000
GDAX.BTC-USD,D,20180916,000000,6498.0000000
GDAX.BTC-USD,D,20180917,000000,6250.7000000
GDAX.BTC-USD,D,20180918,000000,6335.7000000
GDAX.BTC-USD,D,20180919,000000,6386.9400000
GDAX.BTC-USD,D,20180920,000000,6493.1100000
GDAX.BTC-USD,D,20180921,000000,6750.0000000
GDAX.BTC-USD,D,20180922,000000,6707.3300000
GDAX.BTC-USD,D,20180923,000000,6696.9900000
GDAX.BTC-USD,D,20180924,000000,6582.0900000
GDAX.BTC-USD,D,20180925,000000,6436.8900000
GDAX.BTC-USD,D,20180926,000000,6455.6600000
GDAX.BTC-USD,D,20180927,000000,6680.0100000
GDAX.BTC-USD,D,20180928,000000,6620.0100000
GDAX.BTC-USD,D,20180929,000000,6581.0000000
GDAX.BTC-USD,D,20180930,000000,6605.0000000
GDAX.BTC-USD,D,20181001,000000,6572.8300000
GDAX.BTC-USD,D,20181002,000000,6498.4600000
GDAX.BTC-USD,D,20181003,000000,6466.0300000
GDAX.BTC-USD,D,20181004,000000,6547.4500000
GDAX.BTC-USD,D,20181005,000000,6593.9400000
GDAX.BTC-USD,D,20181006,000000,6552.4300000
GDAX.BTC-USD,D,20181007,000000,6570.0000000
GDAX.BTC-USD,D,20181008,000000,6608.0700000
GDAX.BTC-USD,D,20181009,000000,6589.4800000
GDAX.BTC-USD,D,20181010,000000,6524.5600000
GDAX.BTC-USD,D,20181011,000000,6154.6900000
GDAX.BTC-USD,D,20181012,000000,6188.0100000
GDAX.BTC-USD,D,20181013,000000,6196.0000000
GDAX.BTC-USD,D,20181014,000000,6183.4900000
GDAX.BTC-USD,D,20181015,000000,6440.4200000
GDAX.BTC-USD,D,20181016,000000,6457.1100000
GDAX.BTC-USD,D,20181017,000000,6443.7000000
GDAX.BTC-USD,D,20181018,000000,6394.9600000
GDAX.BTC-USD,D,20181019,000000,6382.9900000
GDAX.BTC-USD,D,20181020,000000,6414.0000000
GDAX.BTC-USD,D,20181021,000000,6415.8800000
GDAX.BTC-USD,D,20181022,000000,6407.6500000
GDAX.BTC-USD,D,20181023,000000,6395.1400000
GDAX.BTC-USD,D,20181024,000000,6415.9800000
GDAX.BTC-USD,D,20181025,000000,6395.5800000
GDAX.BTC-USD,D,20181026,000000,6404.8700000
GDAX.BTC-USD,D,20181027,000000,6409.1200000
GDAX.BTC-USD,D,20181028,000000,6403.6200000
GDAX.BTC-USD,D,20181029,000000,6266.0000000
GDAX.BTC-USD,D,20181030,000000,6267.6300000
GDAX.BTC-USD,D,20181031,000000,6304.1800000
GDAX.BTC-USD,D,20181101,000000,6344.0000000
GDAX.BTC-USD,D,20181102,000000,6349.8000000
GDAX.BTC-USD,D,20181103,000000,6331.9600000
GDAX.BTC-USD,D,20181104,000000,6423.2800000
GDAX.BTC-USD,D,20181105,000000,6404.0000000
GDAX.BTC-USD,D,20181106,000000,6448.5000000
GDAX.BTC-USD,D,20181107,000000,6503.1200000
GDAX.BTC-USD,D,20181108,000000,6406.2400000
GDAX.BTC-USD,D,20181109,000000,6334.8900000
GDAX.BTC-USD,D,20181110,000000,6347.4200000
GDAX.BTC-USD,D,20181111,000000,6357.6000000
GDAX.BTC-USD,D,20181112,000000,6327.8700000
GDAX.BTC-USD,D,20181113,000000,6259.3400000
GDAX.BTC-USD,D,20181114,000000,5605.4600000
GDAX.BTC-USD,D,20181115,000000,5579.5200000
GDAX.BTC-USD,D,20181116,000000,5512.2400000
GDAX.BTC-USD,D,20181117,000000,5504.1700000
GDAX.BTC-USD,D,20181118,000000,5560.0000000
GDAX.BTC-USD,D,20181119,000000,4733.5000000
GDAX.BTC-USD,D,20181120,000000,4349.2300000
GDAX.BTC-USD,D,20181121,000000,4545.1100000
GDAX.BTC-USD,D,20181122,000000,4265.3600000
GDAX.BTC-USD,D,20181123,000000,4283.8000000
GDAX.BTC-USD,D,20181124,000000,3774.9900000
GDAX.BTC-USD,D,20181125,000000,3936.6900000
GDAX.BTC-USD,D,20181126,000000,3731.3200000
GDAX.BTC-USD,D,20181127,000000,3775.0000000
GDAX.BTC-USD,D,20181128,000000,4225.0300000
GDAX.BTC-USD,D,20181129,000000,4248.0000000
GDAX.BTC-USD,D,20181130,000000,3976.0000000
GDAX.BTC-USD,D,20181201,000000,4142.0100000
GDAX.BTC-USD,D,20181202,000000,4103.1900000
GDAX.BTC-USD,D,20181203,000000,3833.4700000
GDAX.BTC-USD,D,20181204,000000,3901.8400000
GDAX.BTC-USD,D,20181205,000000,3694.3900000
GDAX.BTC-USD,D,20181206,000000,3433.2600000
GDAX.BTC-USD,D,20181207,000000,3380.0100000
GDAX.BTC-USD,D,20181208,000000,3401.0000000
GDAX.BTC-USD,D,20181209,000000,3531.1800000
GDAX.BTC-USD,D,20181210,000000,3410.1500000
GDAX.BTC-USD,D,20181211,000000,3349.3600000
GDAX.BTC-USD,D,20181212,000000,3430.2400000
GDAX.BTC-USD,D,20181213,000000,3265.0000000
GDAX.BTC-USD,D,20181214,000000,3195.7100000
GDAX.BTC-USD,D,20181215,000000,3183.0000000
GDAX.BTC-USD,D,20181216,000000,3195.0000000
GDAX.BTC-USD,D,20181217,000000,3496.8200000
GDAX.BTC-USD,D,20181218,000000,3667.7700000
GDAX.BTC-USD,D,20181219,000000,3715.2100000
GDAX.BTC-USD,D,20181220,000000,4075.3400000
GDAX.BTC-USD,D,20181221,000000,3839.0600000
GDAX.BTC-USD,D,20181222,000000,3980.4600000
GDAX.BTC-USD,D,20181223,000000,3944.9300000
GDAX.BTC-USD,D,20181224,000000,4034.0000000
GDAX.BTC-USD,D,20181225,000000,3780.0000000
GDAX.BTC-USD,D,20181226,000000,3809.8800000
GDAX.BTC-USD,D,20181227,000000,3589.8900000
GDAX.BTC-USD,D,20181228,000000,3888.0600000
GDAX.BTC-USD,D,20181229,000000,3729.3100000
GDAX.BTC-USD,D,20181230,000000,3829.0000000
GDAX.BTC-USD,D,20181231,000000,3691.8600000
GDAX.BTC-USD,D,20190101,000000,3826.1000000
GDAX.BTC-USD,D,20190102,000000,3890.7900000
GDAX.BTC-USD,D,20190103,000000,3787.5700000
GDAX.BTC-USD,D,20190104,000000,3820.8200000
GDAX.BTC-USD,D,20190105,000000,3798.6200000
GDAX.BTC-USD,D,20190106,000000,4040.9900000
GDAX.BTC-USD,D,20190107,000000,4006.0100000
GDAX.BTC-USD,D,20190108,000000,3993.8600000
GDAX.BTC-USD,D,20190109,000000,4004.1200000
GDAX.BTC-USD,D,20190110,000000,3626.1200000
GDAX.BTC-USD,D,20190111,000000,3635.6900000
GDAX.BTC-USD,D,20190112,000000,3619.4100000
GDAX.BTC-USD,D,20190113,000000,3514.2400000
GDAX.BTC-USD,D,20190114,000000,3664.1900000
GDAX.BTC-USD,D,20190115,000000,3580.7600000
GDAX.BTC-USD,D,20190116,000000,3609.7100000
GDAX.BTC-USD,D,20190117,000000,3640.6500000
GDAX.BTC-USD,D,20190118,000000,3607.8500000
GDAX.BTC-USD,D,20190119,000000,3682.6500000
GDAX.BTC-USD,D,20190120,000000,3536.1900000
GDAX.BTC-USD,D,20190121,000000,3531.7600000
GDAX.BTC-USD,D,20190122,000000,3577.0300000
GDAX.BTC-USD,D,20190123,000000,3553.0100000
GDAX.BTC-USD,D,20190124,000000,3568.9700000
GDAX.BTC-USD,D,20190125,000000,3562.1700000
GDAX.BTC-USD,D,20190126,000000,3556.0700000
GDAX.BTC-USD,D,20190127,000000,3531.0200000
GDAX.BTC-USD,D,20190128,000000,3429.9500000
GDAX.BTC-USD,D,20190129,000000,3397.4200000
GDAX.BTC-USD,D,20190130,000000,3437.5500000
GDAX.BTC-USD,D,20190131,000000,3411.5000000
GDAX.BTC-USD,D,20190201,000000,3437.5000000
GDAX.BTC-USD,D,20190202,000000,3468.4300000
GDAX.BTC-USD,D,20190203,000000,3414.7800000
GDAX.BTC-USD,D,20190204,000000,3409.5700000
GDAX.BTC-USD,D,20190205,000000,3428.4000000
GDAX.BTC-USD,D,20190206,000000,3367.3600000
GDAX.BTC-USD,D,20190207,000000,3359.0000000
GDAX.BTC-USD,D,20190208,000000,3621.9900000
